        //Th[K]         P[Pa]    H[J/kg]      Cp_eq[J/kg-K]  mu[Pa-s]       lambda[W/m-K]  rho[kg/m^3]
           290          4000      -8240.91        1010.97   1.90975e-05      0.0279961     0.0478606
           340          4000       42375.1        1013.97    2.1051e-05      0.0309442     0.0408223
           390          4000         93188        1018.88   2.30652e-05      0.0340577     0.0355887
           440          4000        144296        1025.77    2.5077e-05      0.0372604     0.0315445
           490          4000        195795        1034.43   2.71027e-05      0.0405847     0.0283257
           540          4000        247763        1044.54   2.91351e-05      0.0440255     0.0257029
           590          4000        300266        1055.72    3.1198e-05      0.0476119     0.0235247
           640          4000        353347         1067.6   3.29939e-05      0.0508849     0.0216868
           690          4000        407031        1079.81   3.47126e-05      0.0541133     0.0201153
           740          4000        461329        1092.06    3.6432e-05      0.0574018     0.0187562
           790          4000        516234        1104.11   3.81568e-05      0.0607461     0.0175691
           840          4000        571734         1115.8   3.98915e-05      0.0641434     0.0165233
           890          4000        627807        1127.03     4.164e-05      0.0675937      0.015595
           940          4000        684430        1137.82   4.34062e-05      0.0711009     0.0147655
           990          4000        741582        1148.25   4.51937e-05      0.0746745     0.0140198
          1040          4000        799250        1158.36   4.66585e-05      0.0777459     0.0133457
          1090          4000        857411        1168.01   4.80281e-05      0.0806697     0.0127336
          1140          4000        916045        1177.28   4.93873e-05      0.0835874     0.0121751
          1190          4000        975135        1186.26   5.07375e-05      0.0865053     0.0116635
          1240          4000   1.03467e+06        1195.02     5.208e-05      0.0894298     0.0111932
          1290          4000   1.09463e+06        1203.65   5.34159e-05      0.0923675     0.0107594
          1340          4000   1.15503e+06        1212.21   5.47463e-05      0.0953261     0.0103579
          1390          4000   1.21586e+06        1220.78   5.60722e-05      0.0983147     0.0099853
          1440          4000   1.27711e+06        1229.46   5.73944e-05       0.101346    0.00963857
          1490          4000   1.33881e+06        1238.36   5.87139e-05       0.104435    0.00931511
          1540          4000   1.40095e+06        1247.64   6.00312e-05       0.107608    0.00901264
          1590          4000   1.46358e+06         1257.5   6.13472e-05       0.110897    0.00872916
          1640          4000   1.52672e+06        1268.23   6.26626e-05       0.114351    0.00846293
          1690          4000   1.59042e+06        1280.23   6.39779e-05       0.118039    0.00821239
          1740          4000   1.65477e+06           1294    6.5294e-05       0.122052    0.00797615
