         // T[K]    h[J/kg]     Y_N         Y_O         Y_NO	     Y_N2         Y_O2      lambda[W/m-K]   mu[Pa-s]    cp[J/mol-K]   rho [Kg/m-3]
	    500     187450    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.0511681    2.90525e-05    1181.3      0.703174
            1000    199965    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.0894313    4.87804e-05    1241.64     0.351587
            1500    213041    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.120245     6.38299e-05    1283.49     0.234391
            2000    226432    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.151289     7.91281e-05    1305.01     0.175766
            2500    239992    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.17614      9.14509e-05    1317.54     0.140171
            3000    253663    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.200926     0.000103677    1327.23     0.114447
            3500    267433    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.226467     0.000116037    1337.15     0.0926935  
            4000    281313    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.253362     0.00012871     1348.48     0.076199
            4500    295319    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.278515     0.000139536    1361.32     0.0656665
            5000    309463    0.111595    0.32441    0.00381676    0.560072    0.000106015    0.304804     0.000150411    1375.22     0.0579542



