// t(s) normalizedPi_C6H5OH,phenol[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 1.26807e-05
74.3387 1.70294e-05
78.5 2.5161e-05
82.8871 3.69865e-05
86.9516 5.48906e-05
90.8226 7.16625e-05
94.9839 9.80536e-05
99.371 0.000115266
103.5 0.000144227
107.565 0.000177741
111.79 0.000203181
115.694 0.000213637
119.435 0.000220913
123.048 0.000222272
126.5 0.000212014
130.081 0.000196525
133.306 0.000168129
136.468 0.000142747
139.565 0.000124335
142.532 0.000107184
145.435 9.78942e-05
148.371 8.41557e-05
151.5 7.74934e-05
154.403 6.93724e-05
157.339 6.45955e-05
160.435 5.98079e-05
163.274 5.34916e-05
165.887 5.15647e-05
168.565 5.03237e-05
171.306 4.93873e-05
173.758 4.17585e-05
176.177 4.0999e-05
178.694 3.79243e-05
181.048 3.62266e-05
183.371 3.60339e-05
185.629 3.37194e-05
187.919 3.30249e-05
190.306 3.13485e-05
192.5 3.13226e-05
194.694 2.93535e-05
196.952 3.02583e-05
199.242 2.94966e-05
201.532 2.66605e-05
203.823 2.68051e-05
206.21 2.59108e-05
208.5 2.58485e-05
210.855 2.42026e-05
213.306 2.23313e-05
215.597 2.12993e-05
217.887 2.14452e-05
220.177 2.06065e-05
222.435 1.94399e-05
224.823 0
227.048 0
229.306 0
231.532 0
233.726 0
235.952 0
238.21 0
240.694 0
243.145 0
245.758 0
248.435 0
251.274 0
254.177 0
257.048 0
260.145 0
263.081 0
265.952 0
268.952 0
271.79 0
274.565 0
277.339 0
280.113 0
283.081 0
285.855 0
288.661 0
291.468 0
294.21 0
296.984 0
299.758 0
302.629 0
305.339 0
308.048 0
310.726 0
313.339 0
316.016 0
318.661 0
321.435 0
323.984 0
326.532 0
329.339 0
331.952 0
334.5 0
336.952 0
339.339 0
341.855 0
344.371 0
346.855 0
349.339 0
351.855 0
354.371 0
356.887 0
359.468 0
361.952 0
364.339 0
366.661 0
368.952 0
371.177 0
373.242 0
375.274 0
