// t(s) normalizedPi_H2[1/s]
24.1774 0
27.1452 0
30.1129 0
33.2097 0
36.4677 0
39.7903 0
43.4032 0
46.9516 0
50.5645 0
54.2742 0
58.1129 0
62.0161 0
66.0161 0
70.2742 1.37761e-07
74.3387 1.3824e-07
78.5 2.30997e-07
82.8871 3.47846e-07
86.9516 5.87926e-07
90.8226 9.44699e-07
94.9839 1.54672e-06
99.371 2.27927e-06
103.5 3.66889e-06
107.565 5.71128e-06
111.79 8.51576e-06
115.694 1.20133e-05
119.435 1.76043e-05
123.048 2.2855e-05
126.5 3.21704e-05
130.081 4.01855e-05
133.306 5.11807e-05
136.468 6.11579e-05
139.565 6.84894e-05
142.532 7.84491e-05
145.435 8.5789e-05
148.371 9.39738e-05
151.5 9.9221e-05
154.403 0.000104788
157.339 0.000107625
160.435 0.000108997
163.274 0.000108859
165.887 0.000106652
168.565 0.000103952
171.306 0.000100025
173.758 9.51638e-05
176.177 9.16455e-05
178.694 8.89776e-05
181.048 8.3282e-05
183.371 8.10505e-05
185.629 7.79355e-05
187.919 7.64812e-05
190.306 7.48286e-05
192.5 7.09326e-05
194.694 7.05021e-05
196.952 6.86313e-05
199.242 6.70163e-05
201.532 6.47263e-05
203.823 6.50773e-05
206.21 6.31614e-05
208.5 6.30095e-05
210.855 6.14473e-05
213.306 5.93186e-05
215.597 5.89345e-05
217.887 5.74241e-05
220.177 5.56582e-05
222.435 5.48939e-05
224.823 5.70402e-05
227.048 5.60814e-05
229.306 5.35509e-05
231.532 5.15227e-05
233.726 5.16663e-05
235.952 4.99057e-05
238.21 5.1553e-05
240.694 5.14615e-05
243.145 5.19334e-05
245.758 5.33146e-05
248.435 5.55516e-05
251.274 5.708e-05
254.177 5.73913e-05
257.048 5.70895e-05
260.145 5.73314e-05
263.081 5.75282e-05
265.952 5.69799e-05
268.952 5.73965e-05
271.79 5.73743e-05
274.565 5.71534e-05
277.339 5.54639e-05
280.113 5.53081e-05
283.081 5.3503e-05
285.855 5.54681e-05
288.661 5.31479e-05
291.468 5.37469e-05
294.21 5.17732e-05
296.984 5.13156e-05
299.758 4.98891e-05
302.629 4.95598e-05
305.339 4.74885e-05
308.048 4.62615e-05
310.726 4.55682e-05
313.339 4.39583e-05
316.016 4.40281e-05
318.661 4.1902e-05
321.435 4.19884e-05
323.984 4.02323e-05
326.532 4.02478e-05
329.339 4.01374e-05
331.952 3.79681e-05
334.5 3.81866e-05
336.952 3.65123e-05
339.339 3.61966e-05
341.855 3.63866e-05
344.371 3.62765e-05
346.855 3.63243e-05
349.339 3.61905e-05
351.855 3.63786e-05
354.371 3.62464e-05
356.887 3.46107e-05
359.468 3.61633e-05
361.952 3.6196e-05
364.339 3.61541e-05
366.661 3.44387e-05
368.952 3.44975e-05
371.177 3.43822e-05
373.242 3.41214e-05
375.274 3.29844e-05
