// t(s) y_H2(-) y_CH4(-) y_CO(-) y_CO2(-)	y_Phenol(-)	y_H2O(-) y_1-Propanol(-) y_2-Propanol(-) y_Xylene(-) y_Cresol(-) y_Dimethyl_Phenol(-) y_Trimethyl_Phenol(-) y_Benzene(-) y_Toluene(-)
24.1774 0 0 0.137663 0.206758 0 0.377603 0.169381 0.108595 0 0 0 0 0 0 
27.1452 0 0 0.150789 0.234034 0 0.390299 0.142019 0.0828584 0 0 0 0 0 0 
30.1129 0 0 0.158381 0.240993 0 0.386019 0.13591 0.0786977 0 0 0 0 0 0 
33.2097 0 0 0.171234 0.244588 0 0.390472 0.123563 0.070142 0 0 0 0 0 0 
36.4677 0 0 0.197905 0.24432 0 0.363677 0.130402 0.0636955 0 0 0 0 0 0 
39.7903 0 0 0.194913 0.245002 0 0.376089 0.128232 0.0557625 0 0 0 0 0 0 
43.4032 0 0 0.213567 0.236867 0 0.371681 0.123974 0.0539108 0 0 0 0 0 0 
46.9516 0 0 0.227465 0.225725 0 0.384998 0.110438 0.051375 0 0 0 0 0 0 
50.5645 0 0 0.240704 0.216114 0 0.398094 0.0983588 0.0467282 0 0 0 0 0 0 
54.2742 0 0 0.255469 0.191974 0 0.421493 0.0905489 0.0405155 0 0 0 0 0 0 
58.1129 0 0 0.265466 0.183527 0 0.430266 0.0797307 0.0410112 0 0 0 0 0 0 
62.0161 0 0 0.318353 0.183408 0 0.498239 0 0 0 0 0 0 0 0 
66.0161 0 0 0.326932 0.160526 0 0.512542 0 0 0 0 0 0 0 0 
70.2742 0.000444397 0.0288838 0.295675 0.12844 0.040906 0.458646 0 0 0 0.0470042 0 0 0 0 
74.3387 0.000369215 0.02448 0.28499 0.111946 0.0454826 0.43075 0 0 0 0.0522632 0.0497199 0 0 0 
78.5 0.000514107 0.0214747 0.26786 0.102879 0.0559984 0.421129 0 0 0 0.0574524 0.0726931 0 0 0 
82.8871 0.000650015 0.0195377 0.240832 0.0867171 0.0691163 0.387242 0 0 0 0.0697348 0.0744035 0.0390336 0.0127324 0 
86.9516 0.000918935 0.0181605 0.218284 0.0776542 0.0857946 0.370853 0 0 0 0.0842742 0.0880202 0.0320413 0.0104515 0.0135482 
90.8226 0.00122775 0.0187227 0.209673 0.0725891 0.0931338 0.365711 0 0 0 0.09467 0.0945498 0.0276474 0.00921651 0.0128593 
94.9839 0.0016644 0.014714 0.188426 0.0628004 0.105514 0.348881 0 0 0.00984658 0.108018 0.114558 0.0277633 0.00748372 0.0103306 
99.371 0.0020803 0.0179309 0.197506 0.0605515 0.105204 0.340814 0 0 0.00894624 0.111589 0.115558 0.0222518 0.00806012 0.00950787 
103.5 0.00288192 0.0241364 0.193883 0.0562909 0.113291 0.325305 0 0 0.0119809 0.122044 0.110299 0.0225434 0.00763991 0.00970542 
107.565 0.00388562 0.0298849 0.19795 0.0480672 0.120925 0.312503 0 0 0.0156869 0.125057 0.109883 0.0192499 0.00802926 0.00887949 
111.79 0.00516962 0.0356471 0.207497 0.0476497 0.123344 0.297711 0 0 0.0163335 0.117083 0.104424 0.0186262 0.0102374 0.0162767 
115.694 0.00667845 0.0455452 0.220927 0.0416551 0.118766 0.284189 0 0 0.0200959 0.119413 0.0963585 0.0157553 0.0102681 0.020349 
119.435 0.00918278 0.0573492 0.246937 0.0366438 0.115233 0.273529 0 0 0.0233977 0.105929 0.0837688 0.0153422 0.011477 0.0212103 
123.048 0.011455 0.0721525 0.265257 0.0354261 0.111404 0.264439 0 0 0.0246309 0.0921685 0.0694159 0.0148323 0.0122052 0.0266135 
126.5 0.0158646 0.0890994 0.28525 0.0325957 0.104553 0.258519 0 0 0.0280108 0.085099 0.0622065 0 0.0119319 0.0268706 
130.081 0.0198941 0.0979858 0.315893 0.0310212 0.0972913 0.245502 0 0 0.0269383 0.0711426 0.0522409 0 0.0139478 0.0281434 
