// t(s) RR_H2(1/s) RR_CH4(1/s) RR_CO(1/s) RR_CO2(1/s)	RR_Phenol(1/s)	RR_H2O(1/s) RR_11/sPropanol(1/s) RR_21/sPropanol(1/s) RR_Xylene(1/s) RR_Cresol(1/s) RR_Dimethyl_Phenol(1/s) RR_Trimethyl_Phenol(1/s) RR_Benzene(1/s) RR_Toluene(1/s)
24.1774 0 0 1.89571e-05 2.84718e-05 0 5.19983e-05 2.33247e-05 1.49542e-05 0 0 0 0 0 0 
27.1452 0 0 2.18237e-05 3.38717e-05 0 5.64879e-05 2.05544e-05 1.19921e-05 0 0 0 0 0 0 
30.1129 0 0 2.50928e-05 3.81814e-05 0 6.11585e-05 2.15327e-05 1.24684e-05 0 0 0 0 0 0 
33.2097 0 0 2.94789e-05 4.21072e-05 0 6.72219e-05 2.1272e-05 1.20753e-05 0 0 0 0 0 0 
36.4677 0 0 3.71335e-05 4.58425e-05 0 6.82379e-05 2.44678e-05 1.19514e-05 0 0 0 0 0 0 
39.7903 0 0 3.93944e-05 4.95179e-05 0 7.60122e-05 2.59173e-05 1.12703e-05 0 0 0 0 0 0 
43.4032 0 0 4.52901e-05 5.02312e-05 0 7.88207e-05 2.62906e-05 1.14326e-05 0 0 0 0 0 0 
46.9516 0 0 5.04021e-05 5.00166e-05 0 8.53086e-05 2.4471e-05 1.13838e-05 0 0 0 0 0 0 
50.5645 0 0 5.55974e-05 4.99177e-05 0 9.1951e-05 2.27187e-05 1.07932e-05 0 0 0 0 0 0 
54.2742 0 0 6.12898e-05 4.60565e-05 0 0.000101121 2.17237e-05 9.7201e-06 0 0 0 0 0 0 
58.1129 0 0 6.56345e-05 4.53757e-05 0 0.00010638 1.97129e-05 1.01397e-05 0 0 0 0 0 0 
62.0161 0 0 8.03835e-05 4.63102e-05 0 0.000125805 0 0 0 0 0 0 0 0 
66.0161 0 0 8.79865e-05 4.32021e-05 0 0.000137939 0 0 0 0 0 0 0 0 
70.2742 1.37761e-07 8.95386e-06 9.16579e-05 3.98159e-05 1.26807e-05 0.000142178 0 0 0 1.45711e-05 0 0 0 0 
74.3387 1.3824e-07 9.16569e-06 0.000106705 4.19142e-05 1.70294e-05 0.000161279 0 0 0 1.95681e-05 1.86159e-05 0 0 0 
78.5 2.30997e-07 9.64894e-06 0.000120354 4.62252e-05 2.5161e-05 0.000189221 0 0 0 2.58144e-05 3.26623e-05 0 0 0 
