// t(s) rhoRatio(-) calculatedRhoRatio(-)
24.1774 1 1
27.1452 0.999 0.999591
30.1129 0.999 0.999141
33.2097 0.998 0.99863
36.4677 0.998 0.998047
39.7903 0.997 0.997396
43.4032 0.996 0.996645
46.9516 0.995 0.995877
50.5645 0.994 0.995058
54.2742 0.994 0.994186
58.1129 0.993 0.993247
62.0161 0.992 0.992272
66.0161 0.99 0.991252
70.2742 0.989 0.990049
74.3387 0.988 0.988672
78.5 0.986 0.986969
82.8871 0.983 0.984831
86.9516 0.981 0.982447
90.8226 0.978 0.979754
94.9839 0.974 0.976266
99.371 0.969 0.97181
103.5 0.964 0.966935
107.565 0.958 0.961379
111.79 0.951 0.95475
115.694 0.944 0.947988
119.435 0.937 0.940998
123.048 0.93 0.933888
126.5 0.923 0.926903
130.081 0.916 0.919628
133.306 0.91 0.913154
136.468 0.904 0.906965
139.565 0.898 0.901146
142.532 0.893 0.895851
145.435 0.889 0.890979
148.371 0.884 0.886368
151.5 0.88 0.881758
154.403 0.876 0.877739
157.339 0.872 0.873973
160.435 0.869 0.870278
163.274 0.866 0.8671
165.887 0.863 0.864377
168.565 0.861 0.861816
171.306 0.858 0.859402
173.758 0.857 0.857368
176.177 0.855 0.855479
178.694 0.853 0.853651
181.048 0.851 0.852027
183.371 0.85 0.850503
185.629 0.849 0.849097
187.919 0.847 0.847731
190.306 0.846 0.846381
192.5 0.845 0.845194
194.694 0.844 0.844045
196.952 0.843 0.842898
199.242 0.841 0.841778
201.532 0.84 0.840703
203.823 0.839 0.839673
206.21 0.838 0.838648
208.5 0.837 0.837705
210.855 0.836 0.836773
213.306 0.836 0.835831
215.597 0.835 0.834965
217.887 0.834 0.834119
220.177 0.833 0.833297
222.435 0.832 0.8325
224.823 0.832 0.831677
227.048 0.831 0.830951
229.306 0.83 0.830247
231.532 0.829 0.829565
233.726 0.829 0.828904
235.952 0.828 0.828245
238.21 0.827 0.827579
240.694 0.827 0.826842
243.145 0.826 0.826115
245.758 0.825 0.825332
248.435 0.824 0.824518
251.274 0.823 0.823641
254.177 0.823 0.822734
257.048 0.822 0.821832
260.145 0.821 0.820856
263.081 0.82 0.819935
265.952 0.819 0.819031
268.952 0.818 0.818085
271.79 0.817 0.817198
274.565 0.816 0.816332
277.339 0.815 0.815471
280.113 0.814 0.814618
283.081 0.813 0.813712
285.855 0.813 0.812874
288.661 0.812 0.812034
291.468 0.811 0.811208
294.21 0.81 0.810418
296.984 0.809 0.809623
299.758 0.809 0.808833
302.629 0.808 0.808022
305.339 0.807 0.807259
308.048 0.806 0.806509
310.726 0.806 0.805777
313.339 0.805 0.805067
316.016 0.804 0.804351
318.661 0.804 0.803653
321.435 0.803 0.802929
323.984 0.802 0.802278
326.532 0.802 0.801639
329.339 0.801 0.800938
331.952 0.8 0.800284
334.5 0.8 0.799652
336.952 0.799 0.799056
339.339 0.798 0.798483
341.855 0.798 0.797883
344.371 0.797 0.797285
346.855 0.797 0.796696
349.339 0.796 0.796106
351.855 0.796 0.795512
354.371 0.795 0.79492
356.887 0.794 0.794329
359.468 0.794 0.793719
361.952 0.793 0.793123
364.339 0.793 0.792549
366.661 0.792 0.791997
368.952 0.792 0.791461
371.177 0.791 0.790944
373.242 0.791 0.790465
375.274 0.79 0.79
